"ID";"CPA2008";"Perioden";"Prijsindex_1";"Kwartaalmutaties_2";"Jaarmutaties_3"
"85";"A023722";"2003KW02";"       .";"       .";""
"86";"A023722";"2003KW03";"       .";"       .";""
"87";"A023722";"2003KW04";"       .";"       .";""
"88";"A023722";"2003JJ00";"       .";"";""
"89";"A023722";"2004KW01";"       .";"       .";"       ."
"90";"A023722";"2004KW02";"       .";"       .";"       ."
"91";"A023722";"2004KW03";"       .";"       .";"       ."
"92";"A023722";"2004KW04";"       .";"       .";"       ."
"93";"A023722";"2004JJ00";"       .";"";"       ."
"94";"A023722";"2005KW01";"       .";"       .";"       ."
"95";"A023722";"2005KW02";"       .";"       .";"       ."
"96";"A023722";"2005KW03";"       .";"       .";"       ."
"97";"A023722";"2005KW04";"       .";"       .";"       ."
"98";"A023722";"2005JJ00";"       .";"";"       ."
"99";"A023722";"2006KW01";"    94.0";"       .";"       ."
"100";"A023722";"2006KW02";"    93.7";"    -0.4";"       ."
"101";"A023722";"2006KW03";"    94.0";"     0.4";"       ."
"102";"A023722";"2006KW04";"    94.0";"     0.0";"       ."
"103";"A023722";"2006JJ00";"    93.9";"";"       ."
"104";"A023722";"2007KW01";"    93.8";"    -0.3";"    -0.2"
"105";"A023722";"2007KW02";"    94.0";"     0.2";"     0.3"
"106";"A023722";"2007KW03";"    94.8";"     0.9";"     0.8"
"107";"A023722";"2007KW04";"    95.2";"     0.4";"     1.2"
"108";"A023722";"2007JJ00";"    94.4";"";"     0.6"
"109";"A023722";"2008KW01";"    96.8";"     1.6";"     3.2"
"110";"A023722";"2008KW02";"    97.1";"     0.3";"     3.3"
"111";"A023722";"2008KW03";"    98.9";"     1.9";"     4.3"
"112";"A023722";"2008KW04";"    98.7";"    -0.2";"     3.7"
"113";"A023722";"2008JJ00";"    97.9";"";"     3.6"
"114";"A023722";"2009KW01";"    95.2";"    -3.6";"    -1.7"
"115";"A023722";"2009KW02";"    92.4";"    -2.9";"    -4.9"
"116";"A023722";"2009KW03";"    92.3";"    -0.1";"    -6.7"
"117";"A023722";"2009KW04";"    93.8";"     1.7";"    -4.9"
"118";"A023722";"2009JJ00";"    93.4";"";"    -4.6"
"119";"A023722";"2010KW01";"    93.7";"    -0.2";"    -1.5"
"120";"A023722";"2010KW02";"    95.6";"     2.1";"     3.5"
"121";"A023722";"2010KW03";"    95.8";"     0.1";"     3.8"
"122";"A023722";"2010KW04";"    94.9";"    -0.9";"     1.2"
"123";"A023722";"2010JJ00";"    95.0";"";"     1.7"
"124";"A023722";"2011KW01";"    96.2";"     1.4";"     2.7"
